source,title,url,published_raw,published_iso,matched_groups,excerpt
minnpost,D.C. Memo: China bends on soybean boycott,https://www.minnpost.com/dc-memo/2025/11/d-c-memo-china-bends-on-soybean-boycott/,2025-11-26T23:30:00,2025-11-26T23:30:00,Somali community; Trump,"Plus: Minnesota Somalis in Trump, GOP lawmakers’ bullseye; Karen community under siege, too."
minnpost,Is the use of tear gas by law enforcement officers considered a war crime?,https://www.minnpost.com/fact-briefs/2025/11/is-the-use-of-tear-gas-by-law-enforcement-officers-considered-a-war-crime/,2025-11-26T22:21:49,2025-11-26T22:21:49,Immigration / ICE,The Chemical Weapons Convention and the Geneva Convention both contain exceptions for “domestic law enforcement purposes.”
minnpost,Treacherous travel ,https://www.minnpost.com/glean/2025/11/treacherous-travel/,2025-11-26T18:26:44,2025-11-26T18:26:44,Immigration / ICE,"Snow and ice have covered much of Minnesota’s roadways, making for slow, slippery travel. For the latest on the state&#8217;s weather, check out the National Weather Service’s page on Minnesota [&hellip;]"
minnpost,"In Matt Goldman’s new novel, ‘Dark Humor,’ sensitive sleuth Nils Shapiro seeks sweet revenge",https://www.minnpost.com/artscape/2025/11/in-matt-goldmans-new-novel-dark-humor-sensitive-sleuth-nils-shapiro-seeks-sweet-revenge/,2025-11-26T11:00:00,2025-11-26T11:00:00,Immigration / ICE,It’s vigilante justice with a side of emotional vulnerability in Goldman’s latest tale of his Minneapolis detective.
minnpost,It&#8217;s time to scrap ranked-choice voting and its empty promises,https://www.minnpost.com/community-voices/2025/11/its-time-to-scrap-ranked-choice-voting-and-its-empty-promises/,2025-11-25T11:00:00,2025-11-25T11:00:00,Immigration / ICE,"Once again, the Minneapolis mayoral contest revealed that ranked-choice voting doesn’t deliver better elections."
minnpost,Fencing frustrates Franklin Avenue denizens ,https://www.minnpost.com/glean/2025/11/fencing-frustrates-residents-in-minneapolis/,2025-11-24T18:01:00,2025-11-24T18:01:00,Somali community,Plus: More on TPS for Somalis in Minnesota; home visits from federal agents; and property tax sticker shock.
minnpost,"SNAP benefits being paid, but food shelves still struggling ",https://www.minnpost.com/glean/2025/11/snap-benefits-being-paid-but-food-shelves-still-struggling/,2025-11-24T10:57:00,2025-11-24T10:57:00,Somali community; Immigration / ICE; Trump; Social program fraud,Plus: Trump wants to strip Minnesota Somali residents of Temporary Protected Status; state to sell BWCA land to Forest Service; winter storm watch.
minnpost,Vaping is ‘everywhere now’ in schools. Can surveillance tech thwart it?,https://www.minnpost.com/education/2025/11/vaping-is-everywhere-now-in-schools-can-surveillance-tech-thwart-it/,2025-11-21T18:18:50,2025-11-21T18:18:50,Immigration / ICE,"Investigation by The 74: Vape detector logs reveal an avalanche of alerts, suspensions dwarfing treatment services and younger kids being punished more."
minnpost,D.C. Memo: Rare success of &#8216;discharge petition&#8217; emboldens Democrats in battles against Trump,https://www.minnpost.com/dc-memo/2025/11/d-c-memo-rare-success-of-discharge-petition-emboldens-democrats-in-battles-against-trump/,2025-11-21T11:00:00,2025-11-21T11:00:00,Trump,"Plus: Trump &#8216;traitors&#8217; rant draws rebuke; Ellison to lead attorneys general group; a reader writes on food stamps, and more."
minnpost,How Brooklyn Park is using AI to plot a better future,https://www.minnpost.com/community-voices/2025/11/how-brooklyn-park-is-using-ai-to-plot-a-better-future/,2025-11-21T11:00:00,2025-11-21T11:00:00,Immigration / ICE,"The city is using emerging technologies, including artificial intelligence, to improve public safety, public works and other services."
