url,title,published_raw,published_iso,somali,ice,fraud,court,politicians,feeding_our_future,mn_mentioned,keep,reason,tags,snippet
https://www.kare11.com/article/money/consumer/tips-homeowners-planning-long-trips-holiday-season/89-d059d8c9-447b-47d2-8078-fef1d3079bf2,Tips for homeowners who are planning long trips away from home during the holiday season,,,0,1,0,0,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Minnesota mentioned,
https://www.kare11.com/article/news/crime/fraud-money-minnesota-funding-terror-group/89-eae57f17-9953-4621-aed5-433e6582ce32,Is fraud money from Minnesota funding a terror group?,,,1,1,1,1,1,1,1,1,kept,Somali context; ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Feeding Our Future; Minnesota mentioned,"An article by a conservative activist largely exaggerates, experts say, but indirectly, some money could end up in Al-Shabaab's hands."
https://www.kare11.com/article/news/investigations/kare-11-investigates-company-billed-medicaid-for-client-it-never-met/89-7203e012-9e12-4759-9982-00b73a1484d0,KARE 11 Investigates: Company Billed Medicaid for Client It Never Met,,,0,1,1,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Minnesota mentioned,KARE 11 investigates a company whose Medicaid billing skyrocketed nearly seventyfold in one year - including for a “client” who received no services.
https://www.kare11.com/article/news/investigations/kare-11-investigates-fraud-was-family-affair-second-guilty-plea-in-minnesota-housing-services-fraud-probe/89-7efdbf14-00a7-44e7-843b-b9d92bcd10ef,KARE 11 Investigates: Fraud was Family Affair — second guilty plea in Minnesota Housing Services fraud probe,,,0,1,1,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Minnesota mentioned,Asad Adow admitted to fraudulently billing Housing Stabilization Services for millions in Medicaid reimbursement.
https://www.kare11.com/article/news/investigations/kare-11-investigates-mn-governor-appoints-new-fraud-czar/89-640f1eb9-728d-45de-b8f5-07bd2e7fae88,KARE 11 Investigates: MN Governor appoints new fraud czar,,,0,1,1,1,1,0,1,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Minnesota mentioned,
https://www.kare11.com/article/news/investigations/kare-11-investigates-unattended-death-raises-new-fraud-allegations-minnesota-medicaid-funded-ics-program/89-61240443-b8c1-4a60-969b-0b601c5fbd5d,KARE 11 Investigates: Death raises new fraud allegations in Minnesota’s Medicaid-funded ICS program,,,0,1,1,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Minnesota mentioned,"As costs soar and audits expand, one mother says her son’s death reveals the real-world price of neglect and alleged fraud."
https://www.kare11.com/article/news/investigations/us-attorney-addresses-fraud/89-b7134a9a-3f0c-450e-9c90-e3361eca6959,KARE 11 Investigates: 'The fraud is not small.' U.S. Attorney announces new charges as part of widespread fraud schemes in Minnesota,,,0,1,1,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Minnesota mentioned,
https://www.kare11.com/article/news/local/allegation-man-dies-after-dhs-cuts-off-payments-over-fraud-suspicions/89-700dbe64-07d0-4fab-82ae-18260ffd5b41,Allegation: Man dies after DHS cuts off payments to provider over fraud suspicions,,,0,1,1,1,1,0,1,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Minnesota mentioned,
https://www.kare11.com/article/news/local/courts-news/ex-minneapolis-chamber-ceo-pleads-guilty-embezzlement-case/89-cac1e6b2-cc79-4dc5-85d1-ef9e6e7ff00d,Ex-Minneapolis Chamber CEO pleads guilty in embezzlement case,,,0,1,1,1,1,0,1,1,kept,ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Political actors mentioned; Minnesota mentioned,"Jonathan Weinhagen admitted stealing $213,000, including $30,000 that was supposed to be reward money for the unsolved shootings of three Minneapolis kids."
https://www.kare11.com/article/news/local/courts-news/hennepin-county-judge-tosses-out-jurys-guilty-verdict-in-72-million-home-healthcare-fraud-case/89-cbbdfb26-eb5d-40cc-8a19-a17c8602c8bf,Hennepin County Judge tosses out jury's guilty verdict in $7.2 million home healthcare fraud case,,,0,1,1,1,0,0,1,0,missing_anchor(Somali_or_politician_or_FeedingOurFuture),ICE / immigration enforcement; Fraud / social programs / COVID programs; Court / legal process; Minnesota mentioned,"Jurors tell KARE 11 News their decision wasn't difficult after seeing evidence of ""obvious fraud"" committed by Abdifatah Yusuf."
