query_used,published_raw,title,url
Ilhan Omar Minnesota Somali,2025-12-10T03:32:04Z,Trump’s Speech on Economy Veers Into an Anti-Immigrant Tirade,https://www.nytimes.com/2025/12/09/us/politics/trump-somalis-immigrants.html
Ilhan Omar Minnesota Somali,2025-12-10T00:32:16Z,"Trump Says Americans Are Doing Great, Even as Views on the Economy Sour",https://www.nytimes.com/2025/12/09/us/politics/trump-affordability-economy-pennsylvania.html
Ilhan Omar Minnesota Somali,2025-12-08T10:03:45Z,Trump’s Approval Ratings Have Declined. So Has His Vigor.,https://www.nytimes.com/2025/12/08/opinion/trump-biden-age-affordability.html
Ilhan Omar Minnesota Somali,2025-12-04T19:10:08Z,Ilhan Omar: Trump Knows He’s Failing. Cue the Bigotry.,https://www.nytimes.com/2025/12/04/opinion/ilhan-omar-somalia-trump.html
Ilhan Omar Minnesota Somali,2025-12-03T16:16:57Z,"On Trump’s Insults, Somalia’s Prime Minister Says ‘It’s Better Not to Respond’",https://www.nytimes.com/2025/12/03/world/africa/trump-somalia-garbage-reaction-immigrant.html
Ilhan Omar Minnesota Somali,2025-12-02T20:13:34Z,Trump Calls Somalis ‘Garbage’ He Doesn’t Want in the Country,https://www.nytimes.com/2025/12/02/us/politics/trump-somalia.html
Ilhan Omar Minnesota Somali,2025-12-02T17:16:54Z,New ICE Operation Is Said to Target Somali Migrants in Twin Cities,https://www.nytimes.com/2025/12/02/us/politics/ice-somali-migrants-minneapolis-st-paul.html
Ilhan Omar Minnesota Somali,2025-11-29T10:00:21Z,How Fraud Swamped Minnesota’s Social Services System on Tim Walz’s Watch,https://www.nytimes.com/2025/11/29/us/fraud-minnesota-somali.html
Ilhan Omar Minnesota Somali,2025-11-28T18:16:01Z,Trump’s Response to Shooting Shows Intensified Anti-Migrant Stance,https://www.nytimes.com/2025/11/28/us/politics/trumps-response-to-shooting-shows-intensified-anti-migrant-stance.html
Ilhan Omar Minnesota Somali,2025-11-28T13:27:21Z,Trump Promises to Pause Migration From ‘Third World Countries’ After D.C. Shooting,https://www.nytimes.com/2025/11/28/us/trump-immigration-pause-third-world-countries.html
Ilhan Omar Minnesota Somali,2025-11-28T04:16:32Z,Trump Uses National Guard Shooting to Cast Suspicion on Refugees,https://www.nytimes.com/2025/11/27/us/politics/trump-national-guard-shooting.html
Ilhan Omar Minnesota Somali,2025-11-10T10:01:39Z,Welcome to Our New Era. What Do We Call It?,https://www.nytimes.com/2025/11/10/opinion/era-technology-poly-epoch.html
Ilhan Omar Minnesota Somali,2025-09-19T23:01:03Z,A Week of Deepening Political Divides,https://www.nytimes.com/2025/09/19/us/politics/trump-kimmel-charlie-kirk.html
Ilhan Omar Minnesota Somali,2025-06-05T23:39:31Z,New Travel Ban Prompts Fear and Frustration for U.S. Immigrants,https://www.nytimes.com/2025/06/05/us/politics/trump-travel-ban-immigrants-fear.html
Ilhan Omar Minnesota Somali,2025-02-03T22:30:02Z,"At embattled U.S.A.I.D., concern turns into defiance.",https://www.nytimes.com/live/2025/02/03/us/trump-usaid-news/at-an-embattled-aid-agency-concern-turns-into-defiance-overnight
Ilhan Omar Minnesota Somali,2024-08-14T02:43:10Z,"Ilhan Omar, a Vocal Critic of Israel and ‘Squad’ Member, Wins Her Primary",https://www.nytimes.com/2024/08/13/us/politics/ilhan-omar-minnesota-primary.html
Ilhan Omar Minnesota Somali,2024-08-02T09:04:24Z,Is Tim Walz the Midwestern Dad Democrats Need?,https://www.nytimes.com/2024/08/02/opinion/ezra-klein-podcast-tim-walz.html
Ilhan Omar Minnesota Somali,2024-03-05T22:58:53Z,How the ‘Uncommitted’ Effort to Protest Biden Has Spread in Super Tuesday States,https://www.nytimes.com/2024/03/05/us/politics/biden-uncommitted-vote-super-tuesday.html
Ilhan Omar Minnesota Somali,2024-02-13T16:56:26Z,"On Capitol Hill, Republicans Use Bigoted Attacks Against Political Foes",https://www.nytimes.com/2024/02/13/us/politics/republicans-racist-language.html
Ilhan Omar Minnesota Somali,2023-12-15T10:03:50Z,Democratic Critics of Israel Draw Challengers Eyeing AIPAC’s Help,https://www.nytimes.com/2023/12/15/us/politics/aipac-israel-democrats-ilhan-omar.html
Ilhan Omar Minnesota Somali,2023-05-02T14:24:45Z,Minnesota Man Is Charged With Arson After 2 Mosque Fires,https://www.nytimes.com/2023/05/02/us/minnesota-mosque-arson-ilhan-omar.html
Ilhan Omar Minnesota Somali,2023-02-02T17:33:10Z,House Ousts Ilhan Omar From Foreign Affairs Panel as G.O.P. Exacts Revenge,https://www.nytimes.com/2023/02/02/us/politics/ilhan-omar-house-committee-republicans.html
Ilhan Omar Minnesota Somali,2022-04-30T14:45:06Z,How Tucker Carlson Reshaped Fox News — and Became Trump’s Heir,https://www.nytimes.com/2022/04/30/us/tucker-carlson-fox-news.html
Ilhan Omar Minnesota Somali,2022-03-07T23:46:53Z,War in Ukraine Rallies Support in Congress for More Military Spending,https://www.nytimes.com/2022/03/07/us/politics/ukraine-congress-military-spending.html
